1,7.98094
2,4.27997
3,3.22068
4,2.58387
5,2.24573
6,1.86757
7,1.59195
8,1.42766
9,1.64276
10,1.55388
11,1.57866
12,1.50032
13,1.51
14,1.48215
15,1.49865
16,1.44696
17,1.45885
18,1.43868
19,1.41724
20,1.44257
21,1.44242
22,1.4156
23,1.417
24,1.4276
25,1.4355
26,1.41655
27,1.43118
28,1.42745
29,1.42467
30,1.42236
31,1.42093
32,1.40609
33,1.40366
34,1.41266
35,1.41743
36,1.42352
37,1.41991
38,1.40535
39,1.40444
40,1.41309
41,1.40925
42,1.40906
43,1.4009
44,1.39685
45,1.39927
46,1.39786
47,1.39699
48,1.40135
49,1.40511
50,1.40021
51,1.39973
52,1.39612
53,1.40292
54,1.40899
55,1.39374
56,1.40022
57,1.3968
58,1.40063
59,1.39858
60,1.39668
61,1.40126
62,1.40456
63,1.40313
64,1.39973
65,1.39494
66,1.40014
67,1.39815
68,1.39723
69,1.39827
70,1.40123
71,1.39873
72,1.40376
73,1.39404
74,1.39882
75,1.41348
76,1.40572
77,1.41625
78,1.40238
79,1.40322
80,1.40801
81,1.41302
82,1.40988
83,1.41199
84,1.41142
85,1.39902
86,1.41683
87,1.53322
88,1.45007
89,1.39735
90,1.39651
91,1.45322
92,1.39763
93,1.39761
94,1.3991
95,1.39734
96,1.40034
97,1.4316
98,1.42962
99,1.4224
